tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2019-10-01,134,33,20,184,16,184,O3,TIDAK SEHAT,DKI5
2019-10-02,79,34,15,153,16,153,O3,TIDAK SEHAT,DKI5
2019-10-03,78,31,19,138,21,138,O3,TIDAK SEHAT,DKI5
2019-10-04,76,33,19,169,23,169,O3,TIDAK SEHAT,DKI5
2019-10-05,73,51,14,89,38,89,O3,SEDANG,DKI5
2019-10-06,62,31,10,164,8,164,O3,TIDAK SEHAT,DKI5
2019-10-07,73,33,15,100,11,100,O3,SEDANG,DKI5
2019-10-08,90,34,22,138,13,138,O3,TIDAK SEHAT,DKI5
2019-10-09,68,31,19,130,16,130,O3,TIDAK SEHAT,DKI3
2019-10-10,73,32,20,173,18,173,O3,TIDAK SEHAT,DKI5
2019-10-11,80,33,21,207,24,207,O3,SANGAT TIDAK SEHAT,DKI5
2019-10-12,77,33,31,177,14,177,O3,TIDAK SEHAT,DKI5
2019-10-13,70,33,17,173,13,173,O3,TIDAK SEHAT,DKI5
2019-10-14,79,34,18,156,13,156,O3,TIDAK SEHAT,DKI5
2019-10-15,64,32,18,178,14,178,O3,TIDAK SEHAT,DKI5
2019-10-16,74,31,23,144,17,144,O3,TIDAK SEHAT,DKI5
2019-10-17,64,31,20,156,12,156,O3,TIDAK SEHAT,DKI5
2019-10-18,60,33,17,104,14,104,O3,TIDAK SEHAT,DKI3
2019-10-19,75,32,19,78,11,78,O3,SEDANG,DKI3
2019-10-20,71,32,24,147,12,147,O3,TIDAK SEHAT,DKI5
2019-10-21,73,33,40,87,11,87,O3,SEDANG,DKI5
2019-10-22,70,33,16,135,16,135,O3,TIDAK SEHAT,DKI5
2019-10-23,70,33,20,140,17,140,O3,TIDAK SEHAT,DKI5
2019-10-24,77,34,18,129,18,129,O3,TIDAK SEHAT,DKI3
2019-10-25,75,33,19,172,12,172,O3,TIDAK SEHAT,DKI4
2019-10-26,75,34,19,180,15,180,O3,TIDAK SEHAT,DKI5
2019-10-27,83,34,28,153,12,153,O3,TIDAK SEHAT,DKI5
2019-10-28,68,19,21,121,15,121,O3,TIDAK SEHAT,DKI3
2019-10-29,85,34,30,97,14,97,O3,SEDANG,DKI3
2019-10-30,69,34,21,171,16,171,O3,TIDAK SEHAT,DKI5
2019-10-31,76,35,18,120,14,120,O3,TIDAK SEHAT,DKI3
