tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2019-09-01,74,22,26,109,10,109,O3,TIDAK SEHAT,DKI5
2019-09-02,71,20,24,187,16,187,O3,TIDAK SEHAT,DKI5
2019-09-03,73,31,20,141,20,141,O3,TIDAK SEHAT,DKI3
2019-09-04,78,30,24,144,13,144,O3,TIDAK SEHAT,DKI5
2019-09-05,75,30,26,113,12,113,O3,TIDAK SEHAT,DKI5
2019-09-06,74,30,23,127,15,127,O3,TIDAK SEHAT,DKI3
2019-09-07,73,30,26,127,15,127,O3,TIDAK SEHAT,DKI5
2019-09-08,65,31,20,126,11,126,O3,TIDAK SEHAT,DKI5
2019-09-09,67,29,20,106,14,106,O3,TIDAK SEHAT,DKI3
2019-09-10,70,30,21,91,13,91,O3,SEDANG,DKI5
2019-09-11,75,32,25,160,16,160,O3,TIDAK SEHAT,DKI5
2019-09-12,78,30,25,143,18,143,O3,TIDAK SEHAT,DKI5
2019-09-13,84,33,23,156,18,156,O3,TIDAK SEHAT,DKI5
2019-09-14,76,32,21,156,15,156,O3,TIDAK SEHAT,DKI5
2019-09-15,74,31,22,99,14,99,O3,SEDANG,DKI5
2019-09-16,67,30,24,74,10,74,O3,SEDANG,DKI5
2019-09-17,66,32,21,77,14,77,O3,SEDANG,DKI5
2019-09-18,71,32,22,132,16,132,O3,TIDAK SEHAT,DKI3
2019-09-19,70,32,25,107,12,107,O3,TIDAK SEHAT,DKI5
2019-09-20,66,31,19,91,13,91,O3,SEDANG,DKI5
2019-09-21,63,34,16,169,14,169,O3,TIDAK SEHAT,DKI5
2019-09-22,78,32,16,153,12,153,O3,TIDAK SEHAT,DKI5
2019-09-23,70,33,18,87,12,87,O3,SEDANG,DKI5
2019-09-24,73,32,18,112,12,112,O3,TIDAK SEHAT,DKI5
2019-09-25,78,26,24,174,17,174,O3,TIDAK SEHAT,DKI5
2019-09-26,74,31,21,110,14,110,O3,TIDAK SEHAT,DKI5
2019-09-27,72,31,23,131,16,131,O3,TIDAK SEHAT,DKI5
2019-09-28,63,33,18,102,10,102,O3,TIDAK SEHAT,DKI5
2019-09-29,75,31,19,115,14,115,O3,TIDAK SEHAT,DKI5
2019-09-30,71,31,18,146,14,146,O3,TIDAK SEHAT,DKI5
